ITEM_NUM,AWARD_YEAR,ORIGIN_AIRPORT_ABBREV,DESTINATION_AIRPORT_ABBREV,ORIGIN_CITY_NAME,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREV,AWARDED_SERV,PAX_COUNT,YCA_FARE,XCA_FARE,BUSINESS_FARE,ORIGIN_AIRPORT_LOCATION,DESTINATION_AIRPORT_LOCATION,ORIGIN_CITY_STATE_AIRPORT,DESTINATION_CITY_STATE_AIRPORT,EFFECTIVE_DATE,EXPIRATION_DATE
418,2018,BOI,LWS,BOISE                                             ,ID,USA                                               ,LEWISTON                                          ,ID,USA                                               ,AS,N,192,179.0000,0.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,LEWISTONID-LWS                                         ,10/01/2017,09/30/2018
419,2018,BOI,MSP,BOISE                                             ,ID,USA                                               ,MINNEAPOLIS-ST.PAUL                               ,MN,USA                                               ,DL,N,431,436.0000,265.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,MINNEAPOLIS-ST.PAULMN-MSP                              ,10/01/2017,09/30/2018
420,2018,BOI,OAK,BOISE                                             ,ID,USA                                               ,SAN FRANCISCO                                     ,CA,USA                                               ,WN,N,202,311.0000,209.0000,0.0000,                                                                                                              ,OAKLAND INT'L AIRPORT                                                                                         ,BOISEID-BOI                                            ,SAN FRANCISCOCA-OAK                                    ,10/01/2017,09/30/2018
421,2018,BOI,ORD,BOISE                                             ,ID,USA                                               ,CHICAGO                                           ,IL,USA                                               ,UA,N,740,413.0000,207.0000,0.0000,                                                                                                              ,O'HARE INT'L AIRPORT                                                                                          ,BOISEID-BOI                                            ,CHICAGOIL-ORD                                          ,10/01/2017,09/30/2018
422,2018,BOI,PDX,BOISE                                             ,ID,USA                                               ,PORTLAND                                          ,OR,USA                                               ,AS,N,5096,179.0000,89.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,PORTLANDOR-PDX                                         ,10/01/2017,09/30/2018
423,2018,BOI,PHX,BOISE                                             ,ID,USA                                               ,PHOENIX/SCOTTSDALE                                ,AZ,USA                                               ,AA,N,1756,298.0000,169.0000,0.0000,                                                                                                              ,PHOENIX                                                                                                       ,BOISEID-BOI                                            ,PHOENIX/SCOTTSDALEAZ-PHX                               ,10/01/2017,09/30/2018
424,2018,BOI,RNO,BOISE                                             ,ID,USA                                               ,RENO                                              ,NV,USA                                               ,AS,N,615,329.0000,209.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,RENONV-RNO                                             ,10/01/2017,09/30/2018
425,2018,BOI,SAN,BOISE                                             ,ID,USA                                               ,SAN DIEGO                                         ,CA,USA                                               ,AS,N,1001,179.0000,99.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,SAN DIEGOCA-SAN                                        ,10/01/2017,09/30/2018
426,2018,BOI,SEA,BOISE                                             ,ID,USA                                               ,SEATTLE-TACOMA                                    ,WA,USA                                               ,AS,N,5304,179.0000,79.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,SEATTLE-TACOMAWA-SEA                                   ,10/01/2017,09/30/2018
427,2018,BOI,SFO,BOISE                                             ,ID,USA                                               ,SAN FRANCISCO                                     ,CA,USA                                               ,UA,N,743,298.0000,149.0000,0.0000,                                                                                                              ,SAN FRANCISCO INT'L AIRPORT                                                                                   ,BOISEID-BOI                                            ,SAN FRANCISCOCA-SFO                                    ,10/01/2017,09/30/2018
428,2018,BOI,SLC,BOISE                                             ,ID,USA                                               ,SALT LAKE CITY                                    ,UT,USA                                               ,DL,N,1360,253.0000,140.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,SALT LAKE CITYUT-SLC                                   ,10/01/2017,09/30/2018
429,2018,BOI,SMF,BOISE                                             ,ID,USA                                               ,SACRAMENTO                                        ,CA,USA                                               ,AS,N,1206,239.0000,109.0000,0.0000,                                                                                                              ,                                                                                                              ,BOISEID-BOI                                            ,SACRAMENTOCA-SMF                                       ,10/01/2017,09/30/2018
430,2018,BOS,BUF,BOSTON                                            ,MA,USA                                               ,BUFFALO                                           ,NY,USA                                               ,B6,N,973,136.0000,71.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,BUFFALONY-BUF                                          ,10/01/2017,09/30/2018
431,2018,BOS,BWI,BOSTON                                            ,MA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,WN,N,13514,96.0000,62.0000,0.0000,BOSTON                                                                                                        ,BALTIMORE/WASHINGTON INT'L AIRPORT                                                                            ,BOSTONMA-BOS                                           ,WASHINGTONDC-BWI                                       ,10/01/2017,09/30/2018
432,2018,BOS,CHS,BOSTON                                            ,MA,USA                                               ,CHARLESTON                                        ,SC,USA                                               ,B6,N,1000,239.0000,136.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,CHARLESTONSC-CHS                                       ,10/01/2017,09/30/2018
433,2018,BOS,CLE,BOSTON                                            ,MA,USA                                               ,CLEVELAND                                         ,OH,USA                                               ,UA,N,754,226.0000,126.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,CLEVELANDOH-CLE                                        ,10/01/2017,09/30/2018
434,2018,BOS,CLT,BOSTON                                            ,MA,USA                                               ,CHARLOTTE                                         ,NC,USA                                               ,AA,N,763,197.0000,112.0000,0.0000,BOSTON                                                                                                        ,CHARLOTTE                                                                                                     ,BOSTONMA-BOS                                           ,CHARLOTTENC-CLT                                        ,10/01/2017,09/30/2018
435,2018,BOS,CMH,BOSTON                                            ,MA,USA                                               ,COLUMBUS                                          ,OH,USA                                               ,WN,N,535,175.0000,117.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,COLUMBUSOH-CMH                                         ,10/01/2017,09/30/2018
436,2018,BOS,COS,BOSTON                                            ,MA,USA                                               ,COLORADO SPRINGS                                  ,CO,USA                                               ,AA,C,1266,343.0000,195.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,COLORADO SPRINGSCO-COS                                 ,10/01/2017,09/30/2018
437,2018,BOS,CVG,BOSTON                                            ,MA,USA                                               ,CINCINNATI                                        ,OH,USA                                               ,DL,N,1087,556.0000,312.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,CINCINNATIOH-CVG                                       ,10/01/2017,09/30/2018
438,2018,BOS,DAL,BOSTON                                            ,MA,USA                                               ,DALLAS-FT. WORTH                                  ,TX,USA                                               ,WN,N,117,487.0000,230.0000,0.0000,BOSTON                                                                                                        ,LOVE FIELD  DALLAS                                                                                            ,BOSTONMA-BOS                                           ,DALLAS-FT. WORTHTX-DAL                                 ,10/01/2017,09/30/2018
439,2018,BOS,DAY,BOSTON                                            ,MA,USA                                               ,DAYTON                                            ,OH,USA                                               ,AA,C,2467,259.0000,147.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,DAYTONOH-DAY                                           ,10/01/2017,09/30/2018
440,2018,BOS,DCA,BOSTON                                            ,MA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,N,66124,88.0000,60.0000,0.0000,BOSTON                                                                                                        ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,BOSTONMA-BOS                                           ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
441,2018,BOS,DEN,BOSTON                                            ,MA,USA                                               ,DENVER                                            ,CO,USA                                               ,UA,N,3701,201.0000,0.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,DENVERCO-DEN                                           ,10/01/2017,09/30/2018
442,2018,BOS,DFW,BOSTON                                            ,MA,USA                                               ,DALLAS-FT. WORTH                                  ,TX,USA                                               ,AA,N,2638,300.0000,118.0000,0.0000,BOSTON                                                                                                        ,DALLAS/FT. WORTH INT'L AIRPORT                                                                                ,BOSTONMA-BOS                                           ,DALLAS-FT. WORTHTX-DFW                                 ,10/01/2017,09/30/2018
443,2018,BOS,DTW,BOSTON                                            ,MA,USA                                               ,DETROIT                                           ,MI,USA                                               ,B6,N,2070,189.0000,99.0000,0.0000,BOSTON                                                                                                        ,DETROIT                                                                                                       ,BOSTONMA-BOS                                           ,DETROITMI-DTW                                          ,10/01/2017,09/30/2018
444,2018,BOS,EWR,BOSTON                                            ,MA,USA                                               ,NEWARK                                            ,NJ,USA                                               ,B6,N,1281,151.0000,71.0000,0.0000,BOSTON                                                                                                        ,NEWARK LIBERTY INT'L AIRPORT                                                                                  ,BOSTONMA-BOS                                           ,NEWARKNJ-EWR                                           ,10/01/2017,09/30/2018
445,2018,BOS,FLL,BOSTON                                            ,MA,USA                                               ,FT. LAUDERDALE                                    ,FL,USA                                               ,B6,N,635,369.0000,214.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,FT. LAUDERDALEFL-FLL                                   ,10/01/2017,09/30/2018
446,2018,BOS,HNL,BOSTON                                            ,MA,USA                                               ,HONOLULU                                          ,HI,USA                                               ,AA,C,2608,590.0000,335.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,HONOLULUHI-HNL                                         ,10/01/2017,09/30/2018
447,2018,BOS,HOU,BOSTON                                            ,MA,USA                                               ,HOUSTON                                           ,TX,USA                                               ,B6,N,398,179.0000,114.0000,0.0000,BOSTON                                                                                                        ,HOBBY AIRPORT                                                                                                 ,BOSTONMA-BOS                                           ,HOUSTONTX-HOU                                          ,10/01/2017,09/30/2018
448,2018,BOS,HSV,BOSTON                                            ,MA,USA                                               ,HUNTSVILLE                                        ,AL,USA                                               ,AA,C,2085,271.0000,154.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,HUNTSVILLEAL-HSV                                       ,10/01/2017,09/30/2018
449,2018,BOS,IAD,BOSTON                                            ,MA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,B6,N,8091,109.0000,89.0000,0.0000,BOSTON                                                                                                        ,WASHINGTON DULLES INT'L AIRPORT                                                                               ,BOSTONMA-BOS                                           ,WASHINGTONDC-IAD                                       ,10/01/2017,09/30/2018
451,2018,BOS,IND,BOSTON                                            ,MA,USA                                               ,INDIANAPOLIS                                      ,IN,USA                                               ,DL,N,1008,258.0000,143.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,INDIANAPOLISIN-IND                                     ,10/01/2017,09/30/2018
452,2018,BOS,JAX,BOSTON                                            ,MA,USA                                               ,JACKSONVILLE                                      ,FL,USA                                               ,B6,N,2685,314.0000,149.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,JACKSONVILLEFL-JAX                                     ,10/01/2017,09/30/2018
453,2018,BOS,JFK,BOSTON                                            ,MA,USA                                               ,NEW YORK                                          ,NY,USA                                               ,B6,N,896,124.0000,67.0000,0.0000,BOSTON                                                                                                        ,JFK INT'L AIRPORT                                                                                             ,BOSTONMA-BOS                                           ,NEW YORKNY-JFK                                         ,10/01/2017,09/30/2018
454,2018,BOS,LAS,BOSTON                                            ,MA,USA                                               ,LAS VEGAS                                         ,NV,USA                                               ,B6,N,772,399.0000,219.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,LAS VEGASNV-LAS                                        ,10/01/2017,09/30/2018
455,2018,BOS,LAX,BOSTON                                            ,MA,USA                                               ,LOS ANGELES                                       ,CA,USA                                               ,AA,N,3949,264.0000,104.0000,0.0000,BOSTON                                                                                                        ,LOS ANGELES INT'L AIRPORT                                                                                     ,BOSTONMA-BOS                                           ,LOS ANGELESCA-LAX                                      ,10/01/2017,09/30/2018
456,2018,BOS,LGA,BOSTON                                            ,MA,USA                                               ,NEW YORK                                          ,NY,USA                                               ,B6,N,3828,139.0000,54.0000,0.0000,BOSTON                                                                                                        ,LAGUARDIA AIRPORT                                                                                             ,BOSTONMA-BOS                                           ,NEW YORKNY-LGA                                         ,10/01/2017,09/30/2018
457,2018,BOS,MCI,BOSTON                                            ,MA,USA                                               ,KANSAS CITY                                       ,MO,USA                                               ,WN,N,1382,250.0000,164.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,KANSAS CITYMO-MCI                                      ,10/01/2017,09/30/2018
458,2018,BOS,MCO,BOSTON                                            ,MA,USA                                               ,ORLANDO                                           ,FL,USA                                               ,B6,N,2348,259.0000,136.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,ORLANDOFL-MCO                                          ,10/01/2017,09/30/2018
459,2018,BOS,MDT,BOSTON                                            ,MA,USA                                               ,HARRISBURG                                        ,PA,USA                                               ,AA,N,463,261.0000,148.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,HARRISBURGPA-MDT                                       ,10/01/2017,09/30/2018
460,2018,BOS,MDW,BOSTON                                            ,MA,USA                                               ,CHICAGO                                           ,IL,USA                                               ,WN,N,284,236.0000,154.0000,0.0000,BOSTON                                                                                                        ,MIDWAY AIRPORT                                                                                                ,BOSTONMA-BOS                                           ,CHICAGOIL-MDW                                          ,10/01/2017,09/30/2018
461,2018,BOS,MIA,BOSTON                                            ,MA,USA                                               ,MIAMI                                             ,FL,USA                                               ,AA,N,803,362.0000,206.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,MIAMIFL-MIA                                            ,10/01/2017,09/30/2018
462,2018,BOS,MKE,BOSTON                                            ,MA,USA                                               ,MILWAUKEE                                         ,WI,USA                                               ,DL,N,321,243.0000,135.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,MILWAUKEEWI-MKE                                        ,10/01/2017,09/30/2018
463,2018,BOS,MSP,BOSTON                                            ,MA,USA                                               ,MINNEAPOLIS-ST.PAUL                               ,MN,USA                                               ,DL,N,1065,391.0000,216.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,MINNEAPOLIS-ST.PAULMN-MSP                              ,10/01/2017,09/30/2018
464,2018,BOS,MSY,BOSTON                                            ,MA,USA                                               ,NEW ORLEANS                                       ,LA,USA                                               ,B6,N,1440,266.0000,155.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,NEW ORLEANSLA-MSY                                      ,10/01/2017,09/30/2018
465,2018,BOS,OKC,BOSTON                                            ,MA,USA                                               ,OKLAHOMA CITY                                     ,OK,USA                                               ,AA,C,2755,300.0000,170.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,OKLAHOMA CITYOK-OKC                                    ,10/01/2017,09/30/2018
466,2018,BOS,ORD,BOSTON                                            ,MA,USA                                               ,CHICAGO                                           ,IL,USA                                               ,UA,N,4372,111.0000,0.0000,0.0000,BOSTON                                                                                                        ,O'HARE INT'L AIRPORT                                                                                          ,BOSTONMA-BOS                                           ,CHICAGOIL-ORD                                          ,10/01/2017,09/30/2018
467,2018,BOS,ORF,BOSTON                                            ,MA,USA                                               ,NORFOLK                                           ,VA,USA                                               ,AA,C,5200,229.0000,130.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,NORFOLKVA-ORF                                          ,10/01/2017,09/30/2018
469,2018,BOS,PBI,BOSTON                                            ,MA,USA                                               ,WEST PALM BEACH                                   ,FL,USA                                               ,B6,N,304,375.0000,199.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,WEST PALM BEACHFL-PBI                                  ,10/01/2017,09/30/2018
470,2018,BOS,PDX,BOSTON                                            ,MA,USA                                               ,PORTLAND                                          ,OR,USA                                               ,AS,N,773,309.0000,149.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,PORTLANDOR-PDX                                         ,10/01/2017,09/30/2018
471,2018,BOS,PHF,BOSTON                                            ,MA,USA                                               ,NEWPORT NEWS                                      ,VA,USA                                               ,AA,C,1016,284.0000,161.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,NEWPORT NEWSVA-PHF                                     ,10/01/2017,09/30/2018
472,2018,BOS,PHL,BOSTON                                            ,MA,USA                                               ,PHILADELPHIA                                      ,PA,USA                                               ,AA,N,5122,155.0000,88.0000,0.0000,BOSTON                                                                                                        ,PHILADELPHIA                                                                                                  ,BOSTONMA-BOS                                           ,PHILADELPHIAPA-PHL                                     ,10/01/2017,09/30/2018
473,2018,BOS,PHX,BOSTON                                            ,MA,USA                                               ,PHOENIX/SCOTTSDALE                                ,AZ,USA                                               ,AA,N,1122,303.0000,119.0000,0.0000,BOSTON                                                                                                        ,PHOENIX                                                                                                       ,BOSTONMA-BOS                                           ,PHOENIX/SCOTTSDALEAZ-PHX                               ,10/01/2017,09/30/2018
474,2018,BOS,PIT,BOSTON                                            ,MA,USA                                               ,PITTSBURGH                                        ,PA,USA                                               ,AA,N,1427,180.0000,102.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,PITTSBURGHPA-PIT                                       ,10/01/2017,09/30/2018
476,2018,BOS,RDU,BOSTON                                            ,MA,USA                                               ,RALEIGH-DURHAM                                    ,NC,USA                                               ,DL,N,2507,209.0000,116.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,RALEIGH-DURHAMNC-RDU                                   ,10/01/2017,09/30/2018
477,2018,BOS,RIC,BOSTON                                            ,MA,USA                                               ,RICHMOND                                          ,VA,USA                                               ,B6,N,3636,159.0000,84.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,RICHMONDVA-RIC                                         ,10/01/2017,09/30/2018
478,2018,BOS,ROC,BOSTON                                            ,MA,USA                                               ,ROCHESTER                                         ,NY,USA                                               ,AA,N,159,396.0000,225.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,ROCHESTERNY-ROC                                        ,10/01/2017,09/30/2018
479,2018,BOS,RSW,BOSTON                                            ,MA,USA                                               ,FT. MYERS                                         ,FL,USA                                               ,B6,N,259,314.0000,160.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,FT. MYERSFL-RSW                                        ,10/01/2017,09/30/2018
480,2018,BOS,SAN,BOSTON                                            ,MA,USA                                               ,SAN DIEGO                                         ,CA,USA                                               ,B6,N,7539,330.0000,175.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SAN DIEGOCA-SAN                                        ,10/01/2017,09/30/2018
481,2018,BOS,SAT,BOSTON                                            ,MA,USA                                               ,SAN ANTONIO                                       ,TX,USA                                               ,WN,C,1471,260.0000,169.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SAN ANTONIOTX-SAT                                      ,10/01/2017,09/30/2018
482,2018,BOS,SAV,BOSTON                                            ,MA,USA                                               ,SAVANNAH                                          ,GA,USA                                               ,B6,N,1354,241.0000,139.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SAVANNAHGA-SAV                                         ,10/01/2017,09/30/2018
483,2018,BOS,SDF,BOSTON                                            ,MA,USA                                               ,LOUISVILLE                                        ,KY,USA                                               ,AA,C,1514,244.0000,139.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,LOUISVILLEKY-SDF                                       ,10/01/2017,09/30/2018
484,2018,BOS,SEA,BOSTON                                            ,MA,USA                                               ,SEATTLE-TACOMA                                    ,WA,USA                                               ,B6,N,4726,314.0000,159.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SEATTLE-TACOMAWA-SEA                                   ,10/01/2017,09/30/2018
485,2018,BOS,SFO,BOSTON                                            ,MA,USA                                               ,SAN FRANCISCO                                     ,CA,USA                                               ,UA,N,2619,202.0000,0.0000,0.0000,BOSTON                                                                                                        ,SAN FRANCISCO INT'L AIRPORT                                                                                   ,BOSTONMA-BOS                                           ,SAN FRANCISCOCA-SFO                                    ,10/01/2017,09/30/2018
486,2018,BOS,SJC,BOSTON                                            ,MA,USA                                               ,SAN JOSE                                          ,CA,USA                                               ,B6,N,273,355.0000,192.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SAN JOSECA-SJC                                         ,10/01/2017,09/30/2018
487,2018,BOS,SJU,BOSTON                                            ,MA,USA                                               ,SAN JUAN                                          ,PR,USA                                               ,B6,N,952,479.0000,234.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SAN JUANPR-SJU                                         ,10/01/2017,09/30/2018
488,2018,BOS,SLC,BOSTON                                            ,MA,USA                                               ,SALT LAKE CITY                                    ,UT,USA                                               ,DL,N,1153,433.0000,321.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SALT LAKE CITYUT-SLC                                   ,10/01/2017,09/30/2018
489,2018,BOS,SMF,BOSTON                                            ,MA,USA                                               ,SACRAMENTO                                        ,CA,USA                                               ,DL,C,560,297.0000,221.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SACRAMENTOCA-SMF                                       ,10/01/2017,09/30/2018
490,2018,BOS,STL,BOSTON                                            ,MA,USA                                               ,ST. LOUIS                                         ,MO,USA                                               ,WN,N,1142,467.0000,292.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,ST. LOUISMO-STL                                        ,10/01/2017,09/30/2018
491,2018,BOS,SYR,BOSTON                                            ,MA,USA                                               ,SYRACUSE                                          ,NY,USA                                               ,AA,N,282,215.0000,122.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,SYRACUSENY-SYR                                         ,10/01/2017,09/30/2018
492,2018,BOS,TPA,BOSTON                                            ,MA,USA                                               ,TAMPA                                             ,FL,USA                                               ,B6,N,2072,315.0000,199.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,TAMPAFL-TPA                                            ,10/01/2017,09/30/2018
493,2018,BOS,VPS,BOSTON                                            ,MA,USA                                               ,FT. WALTON BEACH                                  ,FL,USA                                               ,AA,C,1229,273.0000,155.0000,0.0000,BOSTON                                                                                                        ,                                                                                                              ,BOSTONMA-BOS                                           ,FT. WALTON BEACHFL-VPS                                 ,10/01/2017,09/30/2018
